FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CZ;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.009 ,0.011 ,0.012 ,0.017 ,0.018 ,0.023 ,0.02 ,0.065 
A;DE;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.008 ,0.008 ,0.108 ,0.129 ,0.144 ,0.145 ,0.135 ,0.136 ,0.134 
A;DK;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0.002 ,0.005 ,0.031 ,0.031 ,0.025 ,0.33 ,0.745 ,0.764 
A;EE;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.004 ,0.04 ,0.017 ,0.008 ,0.182 ,0.231 ,0.29 
A;EL;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 
A;ES;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.016 ,0.007 ,0.006 ,0.001 ,0.002 ,0.005 ,0.002 ,0.032 ,0.007 
A;EU28;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.005 ,0.005 ,0.038 ,0.055 ,0.059 ,0.055 ,0.071 ,0.088 ,0.09 
A;FI;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.231 ,0.266 ,0.312 ,0.396 ,0.42 ,0.463 ,0.465 
A;FR;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.001 ,0.003 ,0.001 ,0.001 ,0.054 ,0.061 ,0.069 
A;HR;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.019 ,0.013 ,0.018 ,0.022 
A;HU;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.039 ,0.043 ,0.037 ,0.058 ,0.028 ,0.118 
A;IE;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.003 ,0.005 ,0.009 ,0.007 ,0.007 ,0.021 ,0.005 ,0.001 ,0.01 
A;IT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.003 ,0.002 ,0.004 ,0 ,0.001 ,0.004 
A;LT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.227 ,0.25 ,0.272 
A;LU;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0.057 ,0.015 ,0.007 ,0.02 ,0.05 ,0.039 ,0.001 
A;LV;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.033 ,0.055 ,0.045 ,0.065 ,0.154 ,0.16 ,0.135 
A;MT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.006 
A;NL;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0.003 ,0.005 ,0.006 ,0.013 ,0.005 ,0.011 ,0.013 
A;PL;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0.045 ,0.062 ,0.175 
A;PT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.006 ,0 ,0 ,0 ,0 ,0 
A;RO;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0 ,0.055 ,0.088 ,0.068 
A;SE;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.142 ,0.515 ,0.514 ,0.465 ,0.438 ,0.466 ,0.403 
A;SI;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.042 ,0.068 ,0.072 ,0.056 ,0.044 
A;SK;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.005 ,0.011 ,0.003 ,0 
A;UK;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.004 ,0.016 ,0.013 ,0.011 ,0.001 ,0.007 ,0.018 ,0.018 
A;AT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EL;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;ES;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;FI;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;FR;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HR;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HU;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LU;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;MT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;RO;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0 ,0 
A;BE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0.003 ,0.004 ,0.006 ,0.007 ,0.025 ,0.028 ,0.027 ,0.029 ,0.031 ,0.034 ,0.033 ,0.031 ,0.027 
A;BG;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.009 ,0 ,0.019 ,0.023 ,0.004 ,0 ,0 ,0.001 
A;CY;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006 ,0.005 ,0.001 ,0.001 ,0.002 ,0.002 ,0.001 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.04 ,0.062 ,0.052 ,0.057 ,0.045 ,0.035 ,0.037 ,0.035 
A;EE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0.001 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0.017 ,0.01 ,0 ,0 ,0 
A;EL;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.01 ,0.028 ,0.008 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0.002 ,0.011 ,0.001 ,0.005 
A;ES;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0.002 ,0.004 ,0.003 ,0.003 ,0.005 ,0.004 ,0.006 ,0.004 ,0.005 
A;EU28;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.002 ,0.004 ,0.005 ,0.006 ,0.012 ,0.01 ,0.011 ,0.01 ,0.011 ,0.012 ,0.012 ,0.011 ,0.01 ,0.011 
A;FI;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.006 ,0.021 ,0.024 ,0.026 ,0.032 ,0.025 ,0.02 ,0.024 
A;FR;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HR;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.008 ,0.009 ,0.008 ,0.008 
A;HU;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.009 ,0.004 ,0.046 ,0.113 ,0.563 ,0.215 ,0.18 ,0.166 ,0.168 ,0.128 ,0.035 ,0.102 ,0.104 ,0.105 
A;IE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IT;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.001 ,0 ,0.001 ,0 ,0.007 ,0.013 ,0.01 ,0.005 ,0.006 ,0.01 ,0.018 ,0.017 ,0.01 ,0.021 
A;LT;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0.007 ,0.012 ,0.014 ,0.018 ,0.022 ,0.025 ,0.029 ,0.032 ,0.036 ,0.043 ,0.048 ,0.033 ,0.069 
A;LU;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.004 ,0.005 ,0.009 ,0.003 ,0.005 ,0.009 ,0 ,0 ,0 
A;MT;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.004 ,0 ,0 ,0 ,0.091 ,0.092 ,0 ,0.051 ,0.006 ,0.031 ,0.025 
